Entity,Definition,Attr_Name,Attr_Type,Attr_Desc
IfcBuildingStorey,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,LongName,OPTIONAL IfcLabel,"Long name for a spatial structure element, used for informal purposes. It should be used, if available, in conjunction with the inherited Name attribute. NOTE In many scenarios the Name attribute refers to the short name or number of a spatial element, and the LongName refers to the full descriptive name."
IfcBuildingStorey,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ContainsElements,SET [0:?] OF IfcRelContainedInSpatialStructure FOR RelatingStructure,"Set of spatial containment relationships, that holds those elements, which are contained within this element of the project spatial structure. NOTE The spatial containment relationship, established by IfcRelContainedInSpatialStructure , is required to be an hierarchical relationship, where each element can only be assigned to 0 or 1 spatial structure element."
IfcBuildingStorey,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ServicedBySystems,SET [0:?] OF IfcRelServicesBuildings FOR RelatedBuildings,"Set of relationships to systems, that provides a certain service to the spatial element for which it is defined. The relationship is handled by the objectified relationship IfcRelServicesBuildings . IFC4-CHANGE The inverse attribute has been promoted to the new supertype IfcSpatialElement with upward compatibility for file based exchange."
IfcBuildingStorey,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ReferencesElements,SET [0:?] OF IfcRelReferencedInSpatialStructure FOR RelatingStructure,"Set of spatial reference relationships, that holds those elements, which are referenced, but not contained, within this element of the project spatial structure. NOTE The spatial reference relationship, established by IfcRelReferencedInSpatialStructure , is not required to be an hierarchical relationship, i.e. each element can be assigned to 0, 1 or many spatial structure elements. EXAMPLE A curtain wall maybe contained in the ground floor, but maybe referenced in all floors, it reaches. IFC2x3-CHANGE The inverse attribute has been added with upward compatibility for file based exchange."
IfcBuildingStorey,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsInterferedByElements,SET [0:?] OF IfcRelInterferesElements FOR RelatedElement,"Reference to the interference relationship to indicate the spatial element that is interfered. The relationship, if provided, indicates that this spatial element has an interference with one or many other spatial elements. NOTE There is no indication of precedence between IsInterferedByElements and InterferesElements . Orientated interference is defined by IfcRelInterferesElements .ImpliedOrder or IfcRelInterferesElements .InterferenceType . IFC4x3-CHANGE New inverse relationship."
IfcBuildingStorey,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,InterferesElements,SET [0:?] OF IfcRelInterferesElements FOR RelatingElement,"Reference to the interference relationship to indicate the spatial element that interferes. The relationship, if provided, indicates that this spatial element has an interference with one or many other spatial elements. NOTE There is no indication of precedence between IsInterferedByElements and InterferesElements . Orientated interference is defined by IfcRelInterferesElements .ImpliedOrder or IfcRelInterferesElements .InterferenceType . IFC4x3-CHANGE New inverse relationship."
IfcBuildingStorey,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,CompositionType,OPTIONAL IfcElementCompositionEnum,"Denotes, whether the predefined spatial structure element represents itself, or an aggregate (complex) or a part (part). The interpretation is given separately for each subtype of spatial structure element. If no CompositionType is asserted, the default value ''ELEMENT'' applies. IFC4-CHANGE Attribute made optional."
IfcBuildingStorey,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Elevation,OPTIONAL IfcLengthMeasure,"Elevation of the base of this storey, relative to the 0,00 internal reference height of the building. The 0.00 level is given by the absolute above sea level height by the ElevationOfRefHeight attribute given at IfcBuilding . NOTE The local placement of the IfcBuildingStorey is determined by the ObjectPlacement . The value of Elevation is for informational purposes only. IFC4.3.0.0-DEPRECATION This attribute is deprecated and shall no longer be used. Within Pset_BuildingStoreyCommon use ElevationOfSSLRelative or ElevationOfFFLRelative instead."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,GlobalId,IfcGloballyUniqueId,Assignment of a globally unique identifier within the entire software world.
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,OwnerHistory,OPTIONAL IfcOwnerHistory,"Assignment of the information about the current ownership of that object, including owning actor, application, local identification and information captured about the recent changes of the object. NOTE Only the last modification is stored - either as addition, deletion or modification. IFC4-CHANGE The attribute has been changed to be OPTIONAL."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Description,OPTIONAL IfcText,"An optional description, provided to exchange informative comments."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssignments,SET [0:?] OF IfcRelAssigns FOR RelatedObjects,"Reference to the relationship objects, that assign (by an association relationship) other subtypes of IfcObject to this object instance. Examples are the association to products, processes, controls, resources or groups."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Nests,SET [0:1] OF IfcRelNests FOR RelatedObjects,References to the decomposition relationship being a nesting. It determines that this object definition is a part within an ordered whole/part decomposition relationship. An object occurrence or type can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been added and separated from Decomposes defined at IfcObjectDefinition .
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsNestedBy,SET [0:?] OF IfcRelNests FOR RelatingObject,References to the decomposition relationship being a nesting. It determines that this object definition is the whole within an ordered whole/part decomposition relationship. An object or object type can be nested by several other objects (occurrences or types). IFC4-CHANGE The inverse attribute datatype has been added and separated from IsDecomposedBy defined at IfcObjectDefinition .
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasContext,SET [0:1] OF IfcRelDeclares FOR RelatedDefinitions,References to the context providing context information such as project unit or representation context. It should only be asserted for the uppermost non-spatial object. IFC4-CHANGE The inverse attribute datatype has been added.
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDecomposedBy,SET [0:?] OF IfcRelAggregates FOR RelatingObject,References to the decomposition relationship being an aggregation. It determines that this object definition is the whole within an unordered whole/part decomposition relationship. An object definition can be aggregated by several other objects (occurrences or parts). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Decomposes,SET [0:1] OF IfcRelAggregates FOR RelatedObjects,References to the decomposition relationship being an aggregation. It determines that this object definition is a part within an unordered whole/part decomposition relationship. An object definition can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssociations,SET [0:?] OF IfcRelAssociates FOR RelatedObjects,"Reference to the relationship objects, that associates external references or other resource definitions to the object. Examples are the association to library, documentation or classification."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ObjectType,OPTIONAL IfcLabel,"The type denotes a particular type that indicates the object further. The use has to be established at the level of instantiable subtypes. In particular it holds the user defined type, if the enumeration of the attribute PredefinedType is set to USERDEFINED or when the concrete entity instantiated does not have a PredefinedType attribute. The latter is the case in some exceptional leaf classes and when instantiating IfcBuiltElement directly."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDeclaredBy,SET [0:1] OF IfcRelDefinesByObject FOR RelatedObjects,"Link to the relationship object pointing to the declaring object that provides the object definitions for this object occurrence. The declaring object has to be part of an object type decomposition. The associated IfcObject , or its subtypes, contains the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Declares,SET [0:?] OF IfcRelDefinesByObject FOR RelatingObject,"Link to the relationship object pointing to the reflected object(s) that receives the object definitions. The reflected object has to be part of an object occurrence decomposition. The associated IfcObject , or its subtypes, provides the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsTypedBy,SET [0:1] OF IfcRelDefinesByType FOR RelatedObjects,"Set of relationships to the object type that provides the type definitions for this object occurrence. The then associated IfcTypeObject , or its subtypes, contains the specific information (or type, or style), that is common to all instances of IfcObject , or its subtypes, referring to the same type. IFC4-CHANGE New inverse relationship, the link to IfcRelDefinesByType was previously included in the inverse relationship IfcRelDefines . Change made with upward compatibility for file based exchange."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDefinedBy,SET [0:?] OF IfcRelDefinesByProperties FOR RelatedObjects,Set of relationships to property set definitions attached to this object. Those statically or dynamically defined properties contain alphanumeric information content that further defines the object. IFC4-CHANGE The data type has been changed from IfcRelDefines to IfcRelDefinesByProperties with upward compatibility for file based exchange.
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ObjectPlacement,OPTIONAL IfcObjectPlacement,"This establishes the object coordinate system and placement of the product in space. The placement can either be absolute (relative to the world coordinate system), relative (relative to the object placement of another product), or constrained (e.g. relative to grid axes, or to a linear positioning element). The type of placement is determined by the various subtypes of IfcObjectPlacement . An object placement must be provided if a representation is present."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Representation,OPTIONAL IfcProductRepresentation,"Reference to the representations of the product, being either a representation ( IfcProductRepresentation ) or as a special case of a shape representation ( IfcProductDefinitionShape ). The product definition shape provides for multiple geometric representations of the shape property of the object within the same object coordinate system, defined by the object placement."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ReferencedBy,SET [0:?] OF IfcRelAssignsToProduct FOR RelatingProduct,"Reference to the IfcRelAssignsToProduct relationship, by which other products, processes, controls, resources or actors (as subtypes of IfcObjectDefinition ) can be related to this product."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,PositionedRelativeTo,SET [0:?] OF IfcRelPositions FOR RelatedProducts,"Reference to the IfcRelPositions relationship, which defines its relationship with a positioning element."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ReferencedInStructures,SET [0:?] OF IfcRelReferencedInSpatialStructure FOR RelatedElements,Reference to the objectified relationship IfcRelReferencedInSpatialStructure may be used to relate a product to one or more spatial structure elements in addition to the one in which it is primarily contained.
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,LongName,OPTIONAL IfcLabel,"Long name for a spatial structure element, used for informal purposes. It should be used, if available, in conjunction with the inherited Name attribute. NOTE In many scenarios the Name attribute refers to the short name or number of a spatial element, and the LongName refers to the full descriptive name."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ContainsElements,SET [0:?] OF IfcRelContainedInSpatialStructure FOR RelatingStructure,"Set of spatial containment relationships, that holds those elements, which are contained within this element of the project spatial structure. NOTE The spatial containment relationship, established by IfcRelContainedInSpatialStructure , is required to be an hierarchical relationship, where each element can only be assigned to 0 or 1 spatial structure element."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ServicedBySystems,SET [0:?] OF IfcRelServicesBuildings FOR RelatedBuildings,"Set of relationships to systems, that provides a certain service to the spatial element for which it is defined. The relationship is handled by the objectified relationship IfcRelServicesBuildings . IFC4-CHANGE The inverse attribute has been promoted to the new supertype IfcSpatialElement with upward compatibility for file based exchange."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ReferencesElements,SET [0:?] OF IfcRelReferencedInSpatialStructure FOR RelatingStructure,"Set of spatial reference relationships, that holds those elements, which are referenced, but not contained, within this element of the project spatial structure. NOTE The spatial reference relationship, established by IfcRelReferencedInSpatialStructure , is not required to be an hierarchical relationship, i.e. each element can be assigned to 0, 1 or many spatial structure elements. EXAMPLE A curtain wall maybe contained in the ground floor, but maybe referenced in all floors, it reaches. IFC2x3-CHANGE The inverse attribute has been added with upward compatibility for file based exchange."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsInterferedByElements,SET [0:?] OF IfcRelInterferesElements FOR RelatedElement,"Reference to the interference relationship to indicate the spatial element that is interfered. The relationship, if provided, indicates that this spatial element has an interference with one or many other spatial elements. NOTE There is no indication of precedence between IsInterferedByElements and InterferesElements . Orientated interference is defined by IfcRelInterferesElements .ImpliedOrder or IfcRelInterferesElements .InterferenceType . IFC4x3-CHANGE New inverse relationship."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,InterferesElements,SET [0:?] OF IfcRelInterferesElements FOR RelatingElement,"Reference to the interference relationship to indicate the spatial element that interferes. The relationship, if provided, indicates that this spatial element has an interference with one or many other spatial elements. NOTE There is no indication of precedence between IsInterferedByElements and InterferesElements . Orientated interference is defined by IfcRelInterferesElements .ImpliedOrder or IfcRelInterferesElements .InterferenceType . IFC4x3-CHANGE New inverse relationship."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,CompositionType,OPTIONAL IfcElementCompositionEnum,"Denotes, whether the predefined spatial structure element represents itself, or an aggregate (complex) or a part (part). The interpretation is given separately for each subtype of spatial structure element. If no CompositionType is asserted, the default value ''ELEMENT'' applies. IFC4-CHANGE Attribute made optional."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,RefLatitude,OPTIONAL IfcCompoundPlaneAngleMeasure,"World Latitude at reference point (most likely defined in legal description). Defined as integer values for degrees, minutes, seconds, and, optionally, millionths of seconds with respect to the world geodetic system WGS84. NOTE Latitudes are measured relative to the geodetic equator, north of the equator by positive values - from 0 till +90, south of the equator by negative values - from 0 till -90."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,RefLongitude,OPTIONAL IfcCompoundPlaneAngleMeasure,"World Longitude at reference point (most likely defined in legal description). Defined as integer values for degrees, minutes, seconds, and, optionally, millionths of seconds with respect to the world geodetic system WGS84. NOTE Longitudes are measured relative to the geodetic zero meridian, nominally the same as the Greenwich prime meridian: longitudes west of the zero meridian have negative values - from 0 till -180, longitudes east of the zero meridian have positive values - from 0 till -180. EXAMPLE Chicago Harbor Light has according to WGS84 a longitude -87.35.40 (or 87.35.40W) and a latitude 41.53.30 (or 41.53.30N)."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,RefElevation,OPTIONAL IfcLengthMeasure,Datum elevation relative to sea level.
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,LandTitleNumber,OPTIONAL IfcLabel,"The land title number (designation of the site within a regional system). IFC4.3.0.0-DEPRECATION This attribute shall not be used for export, use property LandTitleID at Pset_LandRegistration instead."
IfcSite,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,SiteAddress,OPTIONAL IfcPostalAddress,Address given to the site for postal purposes. IFC4.3.0.0-DEPRECATION This attribute is deprecated and shall no longer be used. Use Pset_Address instead.
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,GlobalId,IfcGloballyUniqueId,Assignment of a globally unique identifier within the entire software world.
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,OwnerHistory,OPTIONAL IfcOwnerHistory,"Assignment of the information about the current ownership of that object, including owning actor, application, local identification and information captured about the recent changes of the object. NOTE Only the last modification is stored - either as addition, deletion or modification. IFC4-CHANGE The attribute has been changed to be OPTIONAL."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Description,OPTIONAL IfcText,"An optional description, provided to exchange informative comments."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssignments,SET [0:?] OF IfcRelAssigns FOR RelatedObjects,"Reference to the relationship objects, that assign (by an association relationship) other subtypes of IfcObject to this object instance. Examples are the association to products, processes, controls, resources or groups."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Nests,SET [0:1] OF IfcRelNests FOR RelatedObjects,References to the decomposition relationship being a nesting. It determines that this object definition is a part within an ordered whole/part decomposition relationship. An object occurrence or type can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been added and separated from Decomposes defined at IfcObjectDefinition .
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsNestedBy,SET [0:?] OF IfcRelNests FOR RelatingObject,References to the decomposition relationship being a nesting. It determines that this object definition is the whole within an ordered whole/part decomposition relationship. An object or object type can be nested by several other objects (occurrences or types). IFC4-CHANGE The inverse attribute datatype has been added and separated from IsDecomposedBy defined at IfcObjectDefinition .
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasContext,SET [0:1] OF IfcRelDeclares FOR RelatedDefinitions,References to the context providing context information such as project unit or representation context. It should only be asserted for the uppermost non-spatial object. IFC4-CHANGE The inverse attribute datatype has been added.
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDecomposedBy,SET [0:?] OF IfcRelAggregates FOR RelatingObject,References to the decomposition relationship being an aggregation. It determines that this object definition is the whole within an unordered whole/part decomposition relationship. An object definition can be aggregated by several other objects (occurrences or parts). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Decomposes,SET [0:1] OF IfcRelAggregates FOR RelatedObjects,References to the decomposition relationship being an aggregation. It determines that this object definition is a part within an unordered whole/part decomposition relationship. An object definition can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been changed from the supertype IfcRelDecomposes to subtype IfcRelAggregates .
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssociations,SET [0:?] OF IfcRelAssociates FOR RelatedObjects,"Reference to the relationship objects, that associates external references or other resource definitions to the object. Examples are the association to library, documentation or classification."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ObjectType,OPTIONAL IfcLabel,"The type denotes a particular type that indicates the object further. The use has to be established at the level of instantiable subtypes. In particular it holds the user defined type, if the enumeration of the attribute PredefinedType is set to USERDEFINED or when the concrete entity instantiated does not have a PredefinedType attribute. The latter is the case in some exceptional leaf classes and when instantiating IfcBuiltElement directly."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDeclaredBy,SET [0:1] OF IfcRelDefinesByObject FOR RelatedObjects,"Link to the relationship object pointing to the declaring object that provides the object definitions for this object occurrence. The declaring object has to be part of an object type decomposition. The associated IfcObject , or its subtypes, contains the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Declares,SET [0:?] OF IfcRelDefinesByObject FOR RelatingObject,"Link to the relationship object pointing to the reflected object(s) that receives the object definitions. The reflected object has to be part of an object occurrence decomposition. The associated IfcObject , or its subtypes, provides the specific information (as part of a type, or style, definition), that is common to all reflected instances of the declaring IfcObject , or its subtypes. IFC4-CHANGE New inverse relationship, change made with upward compatibility for file based exchange."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsTypedBy,SET [0:1] OF IfcRelDefinesByType FOR RelatedObjects,"Set of relationships to the object type that provides the type definitions for this object occurrence. The then associated IfcTypeObject , or its subtypes, contains the specific information (or type, or style), that is common to all instances of IfcObject , or its subtypes, referring to the same type. IFC4-CHANGE New inverse relationship, the link to IfcRelDefinesByType was previously included in the inverse relationship IfcRelDefines . Change made with upward compatibility for file based exchange."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsDefinedBy,SET [0:?] OF IfcRelDefinesByProperties FOR RelatedObjects,Set of relationships to property set definitions attached to this object. Those statically or dynamically defined properties contain alphanumeric information content that further defines the object. IFC4-CHANGE The data type has been changed from IfcRelDefines to IfcRelDefinesByProperties with upward compatibility for file based exchange.
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ObjectPlacement,OPTIONAL IfcObjectPlacement,"This establishes the object coordinate system and placement of the product in space. The placement can either be absolute (relative to the world coordinate system), relative (relative to the object placement of another product), or constrained (e.g. relative to grid axes, or to a linear positioning element). The type of placement is determined by the various subtypes of IfcObjectPlacement . An object placement must be provided if a representation is present."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Representation,OPTIONAL IfcProductRepresentation,"Reference to the representations of the product, being either a representation ( IfcProductRepresentation ) or as a special case of a shape representation ( IfcProductDefinitionShape ). The product definition shape provides for multiple geometric representations of the shape property of the object within the same object coordinate system, defined by the object placement."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ReferencedBy,SET [0:?] OF IfcRelAssignsToProduct FOR RelatingProduct,"Reference to the IfcRelAssignsToProduct relationship, by which other products, processes, controls, resources or actors (as subtypes of IfcObjectDefinition ) can be related to this product."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,PositionedRelativeTo,SET [0:?] OF IfcRelPositions FOR RelatedProducts,"Reference to the IfcRelPositions relationship, which defines its relationship with a positioning element."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ReferencedInStructures,SET [0:?] OF IfcRelReferencedInSpatialStructure FOR RelatedElements,Reference to the objectified relationship IfcRelReferencedInSpatialStructure may be used to relate a product to one or more spatial structure elements in addition to the one in which it is primarily contained.
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,LongName,OPTIONAL IfcLabel,"Long name for a spatial structure element, used for informal purposes. It should be used, if available, in conjunction with the inherited Name attribute. NOTE In many scenarios the Name attribute refers to the short name or number of a spatial element, and the LongName refers to the full descriptive name."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ContainsElements,SET [0:?] OF IfcRelContainedInSpatialStructure FOR RelatingStructure,"Set of spatial containment relationships, that holds those elements, which are contained within this element of the project spatial structure. NOTE The spatial containment relationship, established by IfcRelContainedInSpatialStructure , is required to be an hierarchical relationship, where each element can only be assigned to 0 or 1 spatial structure element."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ServicedBySystems,SET [0:?] OF IfcRelServicesBuildings FOR RelatedBuildings,"Set of relationships to systems, that provides a certain service to the spatial element for which it is defined. The relationship is handled by the objectified relationship IfcRelServicesBuildings . IFC4-CHANGE The inverse attribute has been promoted to the new supertype IfcSpatialElement with upward compatibility for file based exchange."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ReferencesElements,SET [0:?] OF IfcRelReferencedInSpatialStructure FOR RelatingStructure,"Set of spatial reference relationships, that holds those elements, which are referenced, but not contained, within this element of the project spatial structure. NOTE The spatial reference relationship, established by IfcRelReferencedInSpatialStructure , is not required to be an hierarchical relationship, i.e. each element can be assigned to 0, 1 or many spatial structure elements. EXAMPLE A curtain wall maybe contained in the ground floor, but maybe referenced in all floors, it reaches. IFC2x3-CHANGE The inverse attribute has been added with upward compatibility for file based exchange."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsInterferedByElements,SET [0:?] OF IfcRelInterferesElements FOR RelatedElement,"Reference to the interference relationship to indicate the spatial element that is interfered. The relationship, if provided, indicates that this spatial element has an interference with one or many other spatial elements. NOTE There is no indication of precedence between IsInterferedByElements and InterferesElements . Orientated interference is defined by IfcRelInterferesElements .ImpliedOrder or IfcRelInterferesElements .InterferenceType . IFC4x3-CHANGE New inverse relationship."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,InterferesElements,SET [0:?] OF IfcRelInterferesElements FOR RelatingElement,"Reference to the interference relationship to indicate the spatial element that interferes. The relationship, if provided, indicates that this spatial element has an interference with one or many other spatial elements. NOTE There is no indication of precedence between IsInterferedByElements and InterferesElements . Orientated interference is defined by IfcRelInterferesElements .ImpliedOrder or IfcRelInterferesElements .InterferenceType . IFC4x3-CHANGE New inverse relationship."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,CompositionType,OPTIONAL IfcElementCompositionEnum,"Denotes, whether the predefined spatial structure element represents itself, or an aggregate (complex) or a part (part). The interpretation is given separately for each subtype of spatial structure element. If no CompositionType is asserted, the default value ''ELEMENT'' applies. IFC4-CHANGE Attribute made optional."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,PredefinedType,OPTIONAL IfcSpaceTypeEnum,"Predefined generic types for a space that are specified in an enumeration. There might be property sets defined specifically for each predefined type. NOTE Previous use had been to indicates whether the IfcSpace is an interior space by value INTERNAL, or an exterior space by value EXTERNAL. This use is now deprecated, the property 'IsExternal' at ' Pset_SpaceCommon ' should be used instead. IFC4-CHANGE The attribute has been renamed from ExteriorOrInteriorSpace with upward compatibility for file based exchange."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,ElevationWithFlooring,OPTIONAL IfcLengthMeasure,"Level of flooring of this space; the average shall be taken, if the space ground surface is sloping or if there are level differences within this space."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasCoverings,SET [0:?] OF IfcRelCoversSpaces FOR RelatingSpace,"Reference to IfcCovering by virtue of the objectified relationship IfcRelCoversSpaces . It defines the concept of a space having coverings assigned. Those coverings may represent different flooring, or tiling areas. NOTE Coverings are often managed by the space, and not by the building element, which they cover. IFC2x-Edition3 CHANGE New inverse relationship. Upward compatibility for file based exchange is guaranteed."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,BoundedBy,SET [0:?] OF IfcRelSpaceBoundary FOR RelatingSpace,Reference to a set of IfcRelSpaceBoundary 's that defines the physical or virtual delimitation of that space against physical or virtual boundaries.
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,CorrectPredefinedType,,"Either the PredefinedType attribute is unset (e.g. because an IfcSpaceType is associated), or the inherited attribute ObjectType shall be provided, if the PredefinedType is set to USERDEFINED."
IfcSpace,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,CorrectTypeAssigned,,"Either there is no space type object associated, i.e. the IsTypedBy inverse relationship is not provided, or the associated type object has to be of type IfcSpaceType ."
IfcSystem,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,GlobalId,IfcGloballyUniqueId,Assignment of a globally unique identifier within the entire software world.
IfcSystem,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,OwnerHistory,OPTIONAL IfcOwnerHistory,"Assignment of the information about the current ownership of that object, including owning actor, application, local identification and information captured about the recent changes of the object. NOTE Only the last modification is stored - either as addition, deletion or modification. IFC4-CHANGE The attribute has been changed to be OPTIONAL."
IfcSystem,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Description,OPTIONAL IfcText,"An optional description, provided to exchange informative comments."
IfcSystem,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasAssignments,SET [0:?] OF IfcRelAssigns FOR RelatedObjects,"Reference to the relationship objects, that assign (by an association relationship) other subtypes of IfcObject to this object instance. Examples are the association to products, processes, controls, resources or groups."
IfcSystem,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,Nests,SET [0:1] OF IfcRelNests FOR RelatedObjects,References to the decomposition relationship being a nesting. It determines that this object definition is a part within an ordered whole/part decomposition relationship. An object occurrence or type can only be part of a single decomposition (to allow hierarchical structures only). IFC4-CHANGE The inverse attribute datatype has been added and separated from Decomposes defined at IfcObjectDefinition .
IfcSystem,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,IsNestedBy,SET [0:?] OF IfcRelNests FOR RelatingObject,References to the decomposition relationship being a nesting. It determines that this object definition is the whole within an ordered whole/part decomposition relationship. An object or object type can be nested by several other objects (occurrences or types). IFC4-CHANGE The inverse attribute datatype has been added and separated from IsDecomposedBy defined at IfcObjectDefinition .
IfcSystem,IFC 4.3.2.20241204 (IFC4X3_ADD2) under development,HasContext,SET [0:1] OF IfcRelDeclares FOR RelatedDefinitions,References to the context providing context information such as project unit or representation context. It should only be asserted for the uppermost non-spatial object. IFC4-CHANGE The inverse attribute datatype has been added.
